date,cases,deaths
2006-01-01,0,0
2006-02-01,0,0
2006-03-01,0,0
2006-04-01,0,0
2006-05-01,0,0
2006-06-01,0,0
2006-07-01,0,0
2006-08-01,0,0
2006-09-01,0,0
2006-10-01,0,0
2006-11-01,0,0
2006-12-01,0,0
2007-01-01,0,0
2007-02-01,0,0
2007-03-01,0,0
2007-04-01,0,0
2007-05-01,0,0
2007-06-01,0,0
2007-07-01,0,0
2007-08-01,0,0
2007-09-01,0,0
2007-10-01,0,0
2007-11-01,0,0
2007-12-01,0,0
2008-01-01,0,0
2008-02-01,0,0
2008-03-01,0,0
2008-04-01,0,0
2008-05-01,0,0
2008-06-01,0,0
2008-07-01,0,0
2008-08-01,0,0
2008-09-01,0,0
2008-10-01,0,0
2008-11-01,0,0
2008-12-01,0,0
2009-01-01,0,0
2009-02-01,0,0
2009-03-01,0,0
2009-04-01,0,0
2009-05-01,0,0
2009-06-01,0,0
2009-07-01,0,0
2009-08-01,0,0
2009-09-01,0,0
2009-10-01,0,0
2009-11-01,0,0
2009-12-01,0,0
2010-01-01,0,0
2010-02-01,0,0
2010-03-01,0,0
2010-04-01,0,0
2010-05-01,0,0
2010-06-01,0,0
2010-07-01,0,0
2010-08-01,0,0
2010-09-01,0,0
2010-10-01,0,0
2010-11-01,0,0
2010-12-01,0,0
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,0,0
2012-04-01,0,0
2012-05-01,0,0
2012-06-01,0,0
2012-07-01,0,0
2012-08-01,0,0
2012-09-01,0,0
2012-10-01,0,0
2012-11-01,0,0
2012-12-01,0,0
2013-01-01,0,0
2013-02-01,0,0
2013-03-01,0,0
2013-04-01,0,0
2013-05-01,0,0
2013-06-01,0,0
2013-07-01,0,0
2013-08-01,0,0
2013-09-01,0,0
2013-10-01,0,0
2013-11-01,0,0
2013-12-01,0,0
2014-01-01,0,0
2014-02-01,0,0
2014-03-01,0,0
2014-04-01,0,0
2014-05-01,0,0
2014-06-01,0,0
2014-07-01,0,0
2014-08-01,0,0
2014-09-01,0,0
2014-10-01,0,0
2014-11-01,0,0
2014-12-01,0,0
2015-01-01,0,0
2015-02-01,0,0
2015-03-01,0,0
2015-04-01,0,0
2015-05-01,0,0
2015-06-01,0,0
2015-07-01,0,0
2015-08-01,0,0
2015-09-01,0,0
2015-10-01,0,0
2015-11-01,0,0
2015-12-01,0,0
2016-01-01,0,0
2016-02-01,0,0
2016-03-01,0,0
2016-04-01,0,0
2016-05-01,0,0
2016-06-01,0,0
2016-07-01,0,0
2016-08-01,0,0
2016-09-01,0,0
2016-10-01,0,0
2016-11-01,0,0
2016-12-01,0,0
2017-01-01,0,0
2017-02-01,0,0
2017-03-01,0,0
2017-04-01,0,0
2017-05-01,0,0
2017-06-01,0,0
2017-07-01,0,0
2017-08-01,0,0
2017-09-01,0,0
2017-10-01,0,0
2017-11-01,0,0
2017-12-01,0,0
2018-01-01,0,0
2018-02-01,0,0
2018-03-01,0,0
2018-04-01,0,0
2018-05-01,0,0
2018-06-01,0,0
2018-07-01,0,0
2018-08-01,0,0
2018-09-01,0,0
2018-10-01,0,0
2018-11-01,0,0
2018-12-01,0,0
2019-01-01,0,0
2019-02-01,0,0
2019-03-01,0,0
2019-04-01,0,0
2019-05-01,0,0
2019-06-01,0,0
2019-07-01,0,0
2019-08-01,0,0
2019-09-01,0,0
2019-10-01,0,0
2019-11-01,0,0
2019-12-01,0,0
2020-01-01,0,0
2020-02-01,8,0
2020-03-01,88,3
2020-04-01,215391,5325
2020-05-01,1109728,64902
2020-06-01,1821199,105113
2020-07-01,2703296,128104
2020-08-01,4628497,154917
2020-09-01,6089506,184563
2020-10-01,7309153,207699
2020-11-01,9283202,230940
2020-12-01,13799549,270639
2021-01-01,20172049,347970
2021-02-01,26363284,443249
2021-03-01,28680857,514404
2021-04-01,30556079,552618
2021-05-01,32407133,576355
2021-06-01,33300482,594841
2021-07-01,33704723,604707
2021-08-01,35041458,612982
2021-09-01,39527624,642454
2021-10-01,43583808,700583
2021-11-01,46058668,746894
2021-12-01,48660112,783149
2022-01-01,54850427,824609
2022-02-01,75285900,889525
2022-03-01,78986396,950788
2022-04-01,80036620,979881
2022-05-01,81274401,992033
2022-06-01,84360023,1004163
2022-07-01,87621338,1014974
2022-08-01,91291256,1026937
2022-09-01,94443668,1042880
2022-10-01,96150643,1055316
2022-11-01,97262328,1066491
2022-12-01,98613271,1088564
2023-01-01,100447989,1099837
2023-02-01,102179838,1115974
2023-03-01,103233169,1128090
2023-04-01,103233169,1128090
2023-05-01,103233169,1128090
2023-06-01,103233169,1128090
2023-07-01,103233169,1128090
2023-08-01,103233169,1128090
2023-09-01,103233169,1128090
2023-10-01,103233169,1128090
2023-11-01,103233169,1128090
2023-12-01,103233169,1128090
2024-01-01,103233169,1128090
2024-02-01,103233169,1128090
2024-03-01,103233169,1128090
2024-04-01,103233169,1128090
2024-05-01,103233169,1128090
2024-06-01,103233169,1128090
2024-07-01,103233169,1128090
2024-08-01,103233169,1128090
2024-09-01,103233169,1128090
2024-10-01,103233169,1128090
2024-11-01,103233169,1128090
